n,parents_age,child_age,coef,se,df
19369,53,42,0.493669876940706,0.0151876370186679,19365
19373,49,42,0.471426986139519,0.014522597586815,19369
19380,58,42,0.466282997896406,0.0152292632015015,19376
19385,56,42,0.511628423167765,0.0161434908453229,19381
19385,57,42,0.466274691101544,0.0155103389748093,19381
19386,37,42,0.503801832977357,0.0162080578533589,19382
19386,39,42,0.469177687023285,0.0151174833629926,19382
19386,41,42,0.462983849903083,0.0145588706044554,19382
19386,43,42,0.483669373628042,0.0150900617734417,19382
19386,45,42,0.505861949202045,0.0154158774108268,19382
19388,40,42,0.480017761423228,0.0152035401950198,19384
19388,42,42,0.489966119088915,0.015297536199075,19384
19388,46,42,0.511884192547786,0.0155956052037234,19384
19388,51,42,0.471413820737146,0.0148341626976243,19384
19388,52,42,0.516940743833903,0.0157608616654136,19384
19388,54,42,0.505614773308423,0.0156231786828284,19384
19388,55,42,0.505736849789185,0.0154586952144623,19384
19393,48,42,0.504642292657696,0.01564835087386,19389
19394,44,42,0.488510715261211,0.015542504296671,19390
19394,47,42,0.485958015359199,0.0151864812995768,19390
19394,50,42,0.500132609743472,0.0155647342150221,19390
23990,25,32,0.279127793435338,0.0180618973657154,23985
23998,27,32,0.377340221041084,0.0176627540613324,23993
24000,26,32,0.350421318563102,0.017861718837067,23995
24059,30,32,0.441240224533162,0.0164534585669317,24054
24066,31,32,0.468493110476098,0.015521039486641,24061
24070,32,32,0.428250565992277,0.0147805226530912,24065
24072,28,32,0.410320319850795,0.0166727011155454,24067
24079,49,32,0.456088506013124,0.013038450134821,24074
24082,33,32,0.487081767717703,0.014824323318272,24077
24083,29,32,0.442837148942784,0.0161623713037924,24078
24085,34,32,0.481713627293649,0.0147503624144279,24080
24091,60,32,0.41640403060339,0.0133524172287428,24086
24092,51,32,0.472608627190696,0.013586976898077,24087
24092,58,32,0.439751414787337,0.0134598500721677,24087
24094,36,32,0.479419327848939,0.0142794126297892,24089
24094,59,32,0.43672441056861,0.0135144199105101,24089
24095,35,32,0.44944627976877,0.0135929248691816,24090
24097,53,32,0.4673871530659,0.0136415076774397,24092
24098,38,32,0.503380271951184,0.0142825755479014,24093
24098,48,32,0.476834328164971,0.0137713965529354,24093
24098,56,32,0.488632904024938,0.0143422851405698,24093
24098,57,32,0.472635528549806,0.0141993350054447,24093
24099,37,32,0.502182647571541,0.0142398846370414,24094
24099,39,32,0.475415661329985,0.0138259700207689,24094
24099,41,32,0.458487699704044,0.0131496058084226,24094
24099,43,32,0.469029197914814,0.0135571570136181,24094
24099,44,32,0.476368119747922,0.013907392916211,24094
24099,45,32,0.481791328172807,0.0138600185805913,24094
24099,47,32,0.468444907314531,0.0135946472432478,24094
24099,50,32,0.48155435736455,0.0138168436389979,24094
24101,40,32,0.473860274323108,0.01375848878213,24096
24101,42,32,0.478946884339736,0.0137195083656769,24096
24101,46,32,0.483244596015403,0.0138029777320056,24096
24101,52,32,0.486707625998648,0.0139517786497867,24096
24101,54,32,0.481159622987899,0.0141109695253863,24096
24101,55,32,0.472834116749361,0.0137764804996941,24096
24368,25,41,0.230457197524314,0.0180226014924553,24363
24443,27,41,0.33817966314597,0.0176366460447621,24438
24446,26,41,0.289683681577758,0.0176616519354101,24441
24693,30,41,0.40768472283246,0.0162953528482687,24688
24703,28,41,0.386956815155006,0.0167619557866728,24698
24734,31,41,0.447147724834953,0.0154176733827439,24729
24769,32,41,0.399711728068049,0.014450779226824,24764
24782,33,41,0.474682729172752,0.0146577295758391,24777
24791,29,41,0.426067383861916,0.0163859119935237,24786
24811,34,41,0.440743902370285,0.0140983891229304,24806
24840,59,41,0.452331494737887,0.0131625861165169,24835
24849,60,41,0.429855841629392,0.0130462551321833,24844
24870,35,41,0.428997251719461,0.0131347736712811,24865
24870,36,41,0.45113422095064,0.0136475917861387,24865
24872,53,41,0.482784320844126,0.013233003430054,24867
24876,38,41,0.487627128095065,0.0138819540757372,24871
24880,49,41,0.45929046233346,0.0126125665732957,24875
24890,58,41,0.460156011942957,0.0132074620790822,24885
24895,56,41,0.503784004460688,0.014011939618916,24890
24895,57,41,0.464904243965048,0.0135127864024514,24890
