instru,n,child_rank,family_rank,coef,se,boot_se
+ demographic char.,641,33.2215288611545,1,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,643,41.1321928460342,14,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,643,45.6749611197512,31,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,643,46.5318818040436,47,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,643,51.7682737169518,57,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,643,52.9160186625195,67,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,35.7391304347826,2,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,37.2546583850932,4,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,38.0341614906832,7,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,37.3291925465839,8,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,38.8866459627329,11,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,44.138198757764,17,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,44.8680124223603,26,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,45.6288819875776,34,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,47.6506211180124,44,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,47.748447204969,49,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,50.4394409937888,62,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,64.8276397515528,94,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,644,68.8416149068323,97,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,43.2558139534884,21,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,44.4077519379845,22,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,45.908527131783,29,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,45.277519379845,33,0.296917119576329,0.00375818583014191,0.00419242778019313
