sample,age,estimate,group,n,coef,se,df,boot_se
Tax data,41,IGE,IGE/RRC,24896,0.510449242768564,0.01380880443237,24891,0.0181519529990816
Tax data,41,RRC,IGE/RRC,24928,0.285062456713001,0.006071487073052,24923,0.00643159669039362
Tax data,41,TM,Bot->Bot,24928,0.305115346038114,,,0.00605671882454298
Tax data,41,TM,Bot->Top,24928,0.100300902708124,,,0.00476808852994184
Tax data,41,TM,Top->Bot,24928,0.118885324779471,,,0.0044138081837696
Tax data,41,TM,Top->Top,24928,0.379911788291901,,,0.00578025935140468
Tax data,42,IGE,IGE/RRC,19386,0.523424433980689,0.015891592669194,19382,0.0208641259600865
Tax data,42,RRC,IGE/RRC,19420,0.283366450850874,0.00688231998591999,19416,0.00702003281707001
Tax data,42,TM,Bot->Bot,19420,0.302601081637909,,,0.00671854683805196
Tax data,42,TM,Bot->Top,19420,0.102240535668298,,,0.00540287554767163
Tax data,42,TM,Top->Bot,19420,0.119660319094184,,,0.00492022959429192
Tax data,42,TM,Top->Top,19420,0.383427689140504,,,0.00656535794354434
Tax data,43,IGE,IGE/RRC,13015,0.498419395652275,0.0197686802894264,13012,0.0247068183999142
Tax data,43,RRC,IGE/RRC,13027,0.270944002134222,0.00843456583516619,13024,0.00875960357428304
Tax data,43,TM,Bot->Bot,13027,0.294930875576037,,,0.00836942696569892
Tax data,43,TM,Bot->Top,13027,0.105606758832565,,,0.00620917911796233
Tax data,43,TM,Top->Bot,13027,0.125095932463546,,,0.0059974121826571
Tax data,43,TM,Top->Top,13027,0.384113584036838,,,0.00796453102260305
Tax data,44,IGE,IGE/RRC,6674,0.473231045643427,0.0285834055602805,6672,0.0317392888882373
Tax data,44,RRC,IGE/RRC,6682,0.26204561424101,0.0118075883795141,6680,0.0121393683751801
Tax data,44,TM,Bot->Bot,6682,0.297155688622755,,,0.0112437000019222
Tax data,44,TM,Bot->Top,6682,0.109281437125749,,,0.00867991176578366
Tax data,44,TM,Top->Bot,6682,0.130142109199701,,,0.00869622084795761
Tax data,44,TM,Top->Top,6682,0.398653702318624,,,0.0114628606222038
